Year,Day,UB_FYKE,UB_ARRAY,LB_ARRAY,VA_ARRAY,VL_ARRAY,,
2014,1-Mar,0,0,0,0,0,,
2014,2-Mar,0,0,0,0,0,,
2014,3-Mar,0,0,0,0,0,,
2014,4-Mar,0,0,0,0,0,,
2014,5-Mar,0,0,0,0,0,,
2014,6-Mar,0,0,0,0,0,,
2014,7-Mar,0,0,0,0,0,,
2014,8-Mar,0,0,0,0,0,,
2014,9-Mar,0,0,0,0,0,,
2014,10-Mar,0,0,0,0,0,,
2014,11-Mar,0,0,0,0,0,,
2014,12-Mar,0,0,0,0,0,,
2014,13-Mar,0,0,0,0,0,,
2014,14-Mar,0,0,0,0,0,,
2014,15-Mar,0,0,0,0,0,,
2014,16-Mar,0,0,0,0,0,,
2014,17-Mar,0,0,0,0,0,,
2014,18-Mar,0,0,0,0,0,,
2014,19-Mar,0,0,0,0,0,,
2014,20-Mar,0,0,0,0,0,,
2014,21-Mar,0,0,0,0,0,,
2014,22-Mar,0,0,0,0,0,,
2014,23-Mar,0,0,0,0,0,,
2014,24-Mar,0,0,0,0,0,,
2014,25-Mar,0,0,0,0,0,,
2014,26-Mar,0,0,0,0,0,,
2014,27-Mar,0,0,0,0,0,,
2014,28-Mar,0,0,0,0,0,,
2014,29-Mar,0,0,0,0,0,,
2014,30-Mar,0,0,0,0,0,,
2014,31-Mar,0,0,0,0,0,,
2014,1-Apr,0,0,0,0,0,,
2014,2-Apr,0,0,0,0,0,,
2014,3-Apr,0,0,0,0,0,,
2014,4-Apr,0,0,0,0,0,,
2014,5-Apr,0,0,0,0,0,,
2014,6-Apr,0,0,0,0,0,,
2014,7-Apr,0,0,0,0,0,,
2014,8-Apr,0,0,0,0,0,,
2014,9-Apr,0,0,0,0,0,,
2014,10-Apr,0,0,0,0,0,,
2014,11-Apr,0,0,0,0,0,,
2014,12-Apr,0,0,0,0,0,,
2014,13-Apr,0,0,0,0,0,,
2014,14-Apr,0,0,0,0,0,,
2014,15-Apr,0,0,0,0,0,,
2014,16-Apr,0,0,0,0,0,,
2014,17-Apr,0,0,0,0,0,,
2014,18-Apr,0,0,0,0,0,,
2014,19-Apr,0,0,0,0,0,,
2014,20-Apr,0,0,0,0,0,,
2014,21-Apr,0,0,0,0,0,,
2014,22-Apr,0,0,0,0,0,,
2014,23-Apr,0,0,0,0,0,,
2014,24-Apr,0,0,0,0,0,,
2014,25-Apr,0,0,0,0,0,,
2014,26-Apr,0,0,0,0,0,,
2014,27-Apr,0,0,0,0,0,,
2014,28-Apr,0,0,0,0,0,,
2014,29-Apr,0,0,0,0,0,,
2014,30-Apr,0,0,0,0,0,,
2014,1-May,0,0,0,0,0,,
2014,2-May,0,0,0,0,0,,
2014,3-May,0,0,0,0,0,,
2014,4-May,0,0,0,0,0,,
2014,5-May,0,0,0,0,0,,
2014,6-May,0,0,0,0,0,,
2014,7-May,0,0,0,0,0,,
