X2014,X2015,X2016,X2017,X2018,Sex
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,3,1,1,2
NA,2,1,1,1,2
2,2,1,1,3,2
NA,2,3,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,1
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,1
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,1
NA,2,1,1,1,2
NA,2,1,1,1,2
NA,2,1,1,1,2
2,1,1,1,1,2
2,1,1,1,1,2
2,1,1,3,1,2
2,1,1,1,1,2
2,1,1,1,1,2
2,2,1,1,1,1
2,1,1,1,1,2
2,1,1,3,1,2
2,1,3,1,1,2
2,1,1,1,1,2
2,1,1,1,1,2
2,1,1,1,1,2
2,1,1,1,1,2
2,1,1,1,1,2
2,1,1,1,1,2
2,1,1,1,1,2
2,1,1,1,1,2
2,1,1,1,1,2
2,1,1,1,1,2
2,1,3,1,1,2
2,1,1,1,1,2
2,1,1,1,1,2
NA,NA,6,4,4,2
NA,NA,3,4,1,1
NA,NA,3,4,4,2
NA,NA,2,1,1,2
NA,NA,2,4,4,2
NA,NA,3,1,4,2
NA,NA,3,1,4,2
NA,NA,3,1,1,1
NA,NA,3,4,4,1
NA,NA,3,4,4,2
NA,NA,3,4,1,1
NA,NA,3,4,4,1
2,1,3,3,1,1
NA,NA,3,1,1,2
NA,NA,3,1,1,2
NA,NA,3,4,4,2
NA,NA,3,4,4,1
NA,NA,3,1,1,1
NA,NA,3,1,4,2
NA,NA,3,1,4,2
NA,NA,3,4,1,2
NA,NA,3,4,4,2
NA,NA,3,4,1,2
NA,NA,3,4,4,1
NA,NA,3,1,1,2
NA,NA,3,4,1,1
NA,NA,3,1,4,2
NA,NA,3,4,4,2
NA,NA,3,4,1,2
NA,NA,3,4,4,1
NA,NA,3,1,1,1
NA,NA,3,4,4,1
NA,NA,3,4,4,2
NA,NA,3,5,5,2
NA,NA,3,4,1,1
NA,NA,3,1,1,2
NA,NA,3,4,4,1
NA,NA,3,1,1,2
NA,NA,3,4,4,1
NA,NA,3,4,1,2
NA,NA,3,4,4,2
NA,NA,3,4,1,2
NA,NA,3,4,4,2
NA,NA,3,1,4,2
NA,NA,3,4,4,1
NA,NA,3,4,4,2
NA,NA,3,4,4,2
NA,NA,3,4,4,1
NA,NA,3,1,4,1
NA,NA,3,1,1,1
NA,NA,6,4,1,2
NA,NA,3,4,4,2
NA,NA,3,1,4,2
NA,NA,3,4,4,1
NA,NA,3,1,1,1
NA,NA,3,1,1,2
NA,NA,3,4,4,2
NA,NA,3,4,1,1
NA,NA,3,4,4,2
NA,NA,3,4,4,2
NA,NA,3,4,4,1
NA,NA,NA,3,4,2
NA,NA,2,5,5,2
NA,NA,NA,5,1,2
NA,NA,NA,5,4,2
NA,NA,NA,5,4,2
NA,NA,NA,5,4,2
NA,NA,NA,3,4,1
NA,NA,NA,3,1,2
NA,NA,NA,3,1,2
NA,NA,NA,5,1,1
NA,NA,NA,5,4,2
NA,NA,NA,3,4,2
NA,NA,NA,5,4,2
NA,NA,NA,5,4,1
NA,NA,NA,5,4,1
NA,NA,NA,3,1,2
NA,NA,NA,5,4,2
NA,NA,NA,3,4,2
NA,NA,NA,5,1,1
NA,NA,NA,3,4,2
NA,NA,NA,5,4,1
NA,NA,NA,3,4,2
NA,NA,NA,5,4,2
NA,NA,NA,3,4,2
NA,NA,NA,5,4,2
NA,NA,NA,3,4,2
NA,NA,NA,5,5,2
NA,NA,NA,5,4,2
NA,NA,NA,5,4,1
NA,NA,NA,5,1,1
NA,NA,NA,5,4,1
NA,NA,NA,3,1,1
NA,NA,NA,3,4,1
NA,NA,NA,3,4,2
NA,NA,NA,5,4,1
NA,NA,NA,5,4,2
NA,NA,NA,5,4,1
NA,NA,NA,3,4,1
NA,NA,NA,3,4,1
NA,NA,NA,3,4,2
NA,NA,NA,3,1,1
NA,NA,NA,5,4,2
NA,NA,NA,5,4,1
NA,NA,NA,5,4,1
NA,NA,NA,5,4,2
NA,NA,NA,5,4,1
NA,NA,NA,3,1,2
NA,NA,NA,5,4,2
NA,NA,NA,5,4,1
NA,NA,NA,3,1,1
NA,NA,NA,5,1,1
NA,NA,NA,5,1,1
NA,NA,NA,5,4,1
NA,NA,NA,3,4,1
NA,NA,NA,5,1,1
NA,NA,NA,5,4,1
NA,NA,NA,5,1,1
NA,NA,NA,5,4,1
NA,NA,NA,5,1,1
NA,NA,NA,5,4,1
NA,NA,NA,5,4,1
NA,NA,NA,5,5,2
NA,NA,NA,5,1,2
NA,NA,NA,3,4,2
NA,NA,NA,5,4,2
NA,NA,NA,5,4,1
NA,NA,NA,5,4,2
NA,NA,NA,5,4,2
NA,NA,NA,5,4,2
NA,NA,NA,3,5,2
NA,NA,NA,5,1,2
NA,NA,NA,3,4,2
NA,NA,NA,5,4,2
NA,NA,NA,3,4,1
NA,NA,NA,3,4,2
NA,NA,NA,5,1,1
NA,NA,NA,3,4,1
NA,NA,NA,3,4,2
NA,NA,NA,3,1,1
NA,NA,NA,5,4,2
NA,NA,NA,5,1,1
NA,NA,NA,5,4,1
NA,NA,NA,5,4,2
NA,NA,NA,5,4,1
NA,NA,NA,5,1,1
NA,NA,NA,5,1,1
NA,NA,NA,3,4,2
NA,NA,NA,3,4,1
NA,NA,NA,3,1,1
NA,NA,NA,3,1,2
NA,NA,NA,3,4,2
NA,NA,NA,5,1,2
NA,NA,NA,5,4,1
NA,NA,NA,5,4,2
NA,NA,NA,5,4,1
NA,NA,NA,3,1,2
NA,NA,NA,5,4,1
NA,NA,NA,NA,3,1
NA,NA,NA,NA,5,2
NA,NA,NA,NA,3,2
NA,NA,NA,NA,3,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,3,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,3,2
NA,NA,NA,NA,3,2
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,2
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,2
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,3,1
NA,NA,NA,NA,5,2
NA,NA,NA,NA,3,2
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,5,1
NA,NA,NA,NA,5,2
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,1
NA,NA,NA,NA,5,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,2
NA,NA,NA,NA,5,1
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,1
NA,NA,NA,NA,5,2
NA,NA,NA,NA,5,1
NA,NA,NA,NA,3,2
NA,NA,NA,NA,3,2
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,3,2
NA,NA,NA,NA,5,2
NA,NA,NA,NA,3,2
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,2
NA,NA,NA,NA,3,1
NA,NA,NA,NA,3,2
NA,NA,NA,NA,3,1
NA,NA,2,4,1,2
NA,NA,2,4,4,2
NA,NA,2,4,4,2
NA,NA,2,1,1,1
NA,NA,NA,2,1,1
NA,NA,2,1,4,2
NA,NA,2,1,4,2
NA,NA,2,1,4,2
