Site_ID,Site_Name,Lat,Lon,PriMethod,Waterbody,CollectDate,CollectYear,Collection_Data_CollectNum,TempOrigOrNew,Individual_ID,Capture_Data_Reformat_CollectNum,PIT_Prefix,PIT_Code,PIT_Code_RAW,PIT_Type,PIT_Prefix_2,PIT_Code_2,PIT_Code_RAW_2,PIT_Type_2,First_Capture,NewTag,HDX_Date,TotalLength,TotalWeight,Tubercle%,HealthCondition,BreedingCondition,Sex,Vial_ID,GenTest,Disposition,EstimatedAge,BroodStock,PecClip,SpermSampled,EggsSampled,Time1stDetection,TimeLastDetection,Num_PIT_Records,Num_Det,PIT_Series,Comments,ZComments,MissingFirstCapture,SameYearRecap,QualityControl,DatabaseComment
51,Brasstown Creek at upper Hwy 66 (near Wastewater plant),34.94134,-83.85528,Seining,Brasstown Creek,,2015,JD2015.26,O,1,JD2015.26,3DDF003,BCB5C8A,3DDF003BCB5C8A,FDX-B,,,,,TRUE,TRUE,,451,850,,,,Male,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"reach 12, site 51; need date for collection number assignment",,FALSE,FALSE,TRUE,Previously collection # JGD15-UNKNOWN
9,"Brasstown, 730m DS of Corn Creek",34.94734399,-83.85323285,Seining,Brasstown Creek,,2015,JD2015.9,O,2,JD2015.9,3DDF003,BCB5C97,3DDF003BCB5C97,FDX-B,,,,,TRUE,TRUE,,444,800,,,,Male,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"REACH 11, SITE 9; NEED DATE FOR COLL NUM",,FALSE,FALSE,TRUE,Previously collection # JGD15-UNKNOWN
10,"Brasstown, at Crooked Creek",34.9738711,-83.87590399,Seining,Brasstown Creek,,2015,JD2015.11,O,3,JD2015.11,3DDF003,BCB5CB0,3DDF003BCB5CB0,FDX-B,,,,,TRUE,TRUE,,519,800,,,,Male,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"reach 13, site 10; Coordinates may need to be corrected; possible that this site is in Crooked Creek geographically; original coordinates 34.97431667, -83.87620971",,FALSE,FALSE,TRUE,Previously collection # JGD15-UNKNOWN
35,"Brasstown ""Upper Brasstown Fyke"" at Knowles",34.98093,-83.88773,Trapping (Weir or Fyke),Brasstown Creek,21-Apr-16,,BA16-014,O,4,BA16-014,3DDF003,BCB5C6D,3DDF003BCB5C6D,FDX-B,,,,,FALSE,FALSE,,447,795,95,Good,Soft squeeze ripe,Male,,FALSE,Released,,FALSE,FALSE,FALSE,FALSE,,,,,,beautiful; pectoral healed,Found matching record,FALSE,FALSE,TRUE,
11,"Brasstown, 102m DS of Crooked Creek",34.97330806,-83.8765234,Seining,Brasstown Creek,,2015,JD2015.1,O,4,JD2015.1,3DDF003,BCB5C6D,3DDF003BCB5C6D,FDX-B,,,,,TRUE,TRUE,,441,800,,,,Male,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"REACH 13, SITE 11, NEED DATE FOR COLL NUM",Found matching record,FALSE,FALSE,TRUE,Previously collection # JGD15-UNKNOWN
12,"Brasstown, at confluence with Corn Creek",34.94295888,-83.8549857,Seining,Brasstown Creek,,2015,JD2015.10,O,5,JD2015.10,3DDF003,BCB5C69,3DDF003BCB5C69,FDX-B,,,,,TRUE,TRUE,,438,750,,,,Male,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"reach 11, site 12, Coordinates just above Corn Creek confluence; may technically be in Corn Creek but likely in Brasstown Creek based on report the site was mapped from (JGD 2015); original 34.9428983, -83.85480473",,FALSE,FALSE,TRUE,Previously collection # JGD15-UNKNOWN
35,"Brasstown ""Upper Brasstown Fyke"" at Knowles",34.98093,-83.88773,Trapping (Weir or Fyke),Brasstown Creek,13-Apr-18,,BA18-021,NN,6,BA18-021,3DDH003,BCB5CA7,3DDH003BCB5CA7,FDX-B,3D6H001,84CB80F,3D6H00184CB80F,HDX,FALSE,TRUE,13-Apr-18,489,1050,80,Ok,Soft squeeze ripe,Male,,FALSE,Released,,FALSE,FALSE,FALSE,FALSE,,,,,,"New tag on dorsal, caudal peduncle; this fish has 2 tags. Deformed, 1st 5 dorsal rays bent back",Will be in antenna test,FALSE,FALSE,TRUE,
12,"Brasstown, at confluence with Corn Creek",34.94295888,-83.8549857,Seining,Brasstown Creek,,2015,JD2015.14,O,6,JD2015.14,3DD003B,BCB5CA7,3DD003BCB5CA7,FDX-B,,,,,TRUE,FALSE,,435,900,,,,Male,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"reach 12, site 51",,FALSE,FALSE,TRUE,Previously collection # JGD15-UNKNOWN
51,Brasstown Creek at upper Hwy 66 (near Wastewater plant),34.94134,-83.85528,Seining,Brasstown Creek,,2014,JD2014.9,O,6,JD2014.9,3DDF003,BCB5CA7,3DDF003BCB5CA7,FDX-B,,,,,FALSE,TRUE,,450,750,,,,Male,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"reach 11, site 12, Coordinates just above Corn Creek confluence; may technically be in Corn Creek but likely in Brasstown Creek based on report the site was mapped from (JGD 2015); original 34.9428983, -83.85480473",,FALSE,FALSE,TRUE,Previously collection # JGD14-UNKNOWN
35,"Brasstown ""Upper Brasstown Fyke"" at Knowles",34.98093,-83.88773,Trapping (Weir or Fyke),Brasstown Creek,21-Apr-16,,BA16-014,O,7,BA16-014,3DDF003,BCB5C91,3DDF003BCB5C91,FDX-B,,,,,FALSE,FALSE,,482,1085,95,Good,Hard squeeze ripe,Male,,FALSE,Released,,FALSE,FALSE,FALSE,FALSE,,,,,,strong; P1 healed,Found matching record,FALSE,FALSE,TRUE,
